distfile,author,has_meta_yml,has_meta_json,meta_spec,meta_generator,meta_gen_package,meta_gen_version,meta_error,has_dist_ini
ABW/Badger-0.06.tar.gz,ABW,1,0,1.4,"ExtUtils::MakeMaker version 6.50",ExtUtils::MakeMaker,6.50,,0
ABW/Class-Base-0.03.tar.gz,ABW,0,0,,,,,,0
ABW/Class-Facade-0.01.tar.gz,ABW,0,0,,,,,,0
ABW/Class-Singleton-1.4.tar.gz,ABW,1,0,1.2,"ExtUtils::MakeMaker version 6.31",ExtUtils::MakeMaker,6.31,,0
ABW/DBO-0.01.tar.gz,ABW,0,0,,,,,,0
ABW/HTML-Query-0.02.tar.gz,ABW,1,0,1.4,"ExtUtils::MakeMaker version 6.50",ExtUtils::MakeMaker,6.50,,0
ABW/Kite-0.4.tar.gz,ABW,0,0,,,,,,0
ABW/Math-Bezier-0.01.tar.gz,ABW,0,0,,,,,,0
ABW/Template-DBI-2.64.tar.gz,ABW,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ABW/Template-GD-2.66.tar.gz,ABW,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ABW/Template-Plugin-Autoformat-2.71.tar.gz,ABW,1,0,1.4,"ExtUtils::MakeMaker version 6.46",ExtUtils::MakeMaker,6.46,,0
ABW/Template-Plugin-Colour-0.01.tar.gz,ABW,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ABW/Template-Toolkit-1.07.tar.gz,ABW,0,0,,,,,,0
ABW/Template-Toolkit-2.22.tar.gz,ABW,1,0,1.4,"ExtUtils::MakeMaker version 6.48",ExtUtils::MakeMaker,6.48,,0
ABW/Template-XML-2.17.tar.gz,ABW,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ABW/Text-MetaText-0.22.tar.gz,ABW,0,0,,,,,,0
ABW/XML-Namespace-0.02.tar.gz,ABW,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ABW/XML-Schema-0.07.tar.gz,ABW,0,0,,,,,,0
ACAJOU/MojoX-UserAgent-0.21.tar.gz,ACAJOU,1,0,,"ExtUtils::MakeMaker version 6.30_01",ExtUtils::MakeMaker,6.30_01,,0
ACALPINI/Acme-CPANAuthors-Italian-0.01.tar.gz,ACALPINI,1,0,1.3,"ExtUtils::MakeMaker version 6.44",ExtUtils::MakeMaker,6.44,,0
ACALPINI/Lingua-IT-Conjugate-0.50.tar.gz,ACALPINI,0,0,,,,,,0
ACALPINI/Lingua-IT-Hyphenate-0.14.tar.gz,ACALPINI,0,0,,,,,,0
ACALPINI/Lingua-Stem-It-0.02.tar.gz,ACALPINI,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ACALPINI/Tie-AliasHash-1.01.tar.gz,ACALPINI,0,0,,,,,,0
ACCA/SAS-TRX-0.05.tar.gz,ACCA,1,0,1.3,"ExtUtils::MakeMaker version 6.42",ExtUtils::MakeMaker,6.42,,0
ACCARDO/Acme-Bushisms-0.02.tar.gz,ACCARDO,0,0,,,,,,0
ACCARDO/CGI-Carp-Fatals-0.02.tar.gz,ACCARDO,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ACCARDO/HTML-Perlinfo-1.61.tar.gz,ACCARDO,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ACCARDO/String-Compare-Length-0.01.tar.gz,ACCARDO,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ACCARDO/Win32-Die-0.03.tar.gz,ACCARDO,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ACCARDO/Win32-Wallpaper-0.04.tar.gz,ACCARDO,0,0,,,,,,0
ACCARDO/win-0.03.tar.gz,ACCARDO,0,0,,,,,,0
ACDALTON/AI-Pathfinding-AStar-0.07.tar.gz,ACDALTON,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
ACDALTON/AI-Pathfinding-AStar-0.10.tar.gz,ACDALTON,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
ACDALTON/Games-DungeonMaker-0.01.tar.gz,ACDALTON,1,0,,"ExtUtils::MakeMaker version 6.17",ExtUtils::MakeMaker,6.17,,0
ACESTER/Math-GMatrix-0.2.tar.gz,ACESTER,0,0,,,,,,0
ACG/Scrabble-Dict-0.01.tar.gz,ACG,0,0,,,,,,0
ACG/supertag-0.2.1.tar.gz,ACG,0,0,,,,,,0
ACH/Tk-Contrib-0.05.tar.gz,ACH,0,0,,,,,,0
ACH/Tk-Contrib-0.07.tar.gz,ACH,0,0,,,,,,0
ACHEN/POE-Component-Client-Halo-0.2.tar.gz,ACHEN,0,0,,,,,,0
ACHEN/POE-Component-Client-Rcon-0.23.tar.gz,ACHEN,0,0,,,,,,0
ACHIMRU/Lingua-Sentence-1.00.tar.gz,ACHIMRU,1,0,1.4,"ExtUtils::MakeMaker version 6.52",ExtUtils::MakeMaker,6.52,,0
ACHIMRU/Text-GaleChurch-1.00.tar.gz,ACHIMRU,1,0,1.4,"ExtUtils::MakeMaker version 6.52",ExtUtils::MakeMaker,6.52,,0
ACHOUNG/IPC-MM-0.03.tar.gz,ACHOUNG,0,0,,,,,,0
ACID/Class-Std-Fast-v0.0.8.tar.gz,ACID,1,0,1.2,"Module::Build version 0.2806",Module::Build,0.2806,,0
ACID/Hyper-Developer-0.07.tar.gz,ACID,1,0,1.2,"Module::Build version 0.2808",Module::Build,0.2808,,0
ACIDDEATH/AIX-Perfstat-0.04.1.tar.gz,ACIDDEATH,0,0,,,,,,0
ACMCMEN/Image-Pngslimmer-0.30.tar.gz,ACMCMEN,1,0,1.3,"ExtUtils::MakeMaker version 6.44",ExtUtils::MakeMaker,6.44,,0
ACOBURN/Lingua-EN-Tagger-0.15.tar.gz,ACOBURN,1,0,,"ExtUtils::MakeMaker version 6.30",ExtUtils::MakeMaker,6.30,,0
ACRAWFORD/HTML-SimpleTemplate-1.00.tar.gz,ACRAWFORD,0,0,,,,,,0
ADAMK/Acme-Everything-1.01.tar.gz,ADAMK,1,0,1.3,"Module::Install version 0.68",Module::Install,0.68,,0
ADAMK/Acme-Mom-Yours-0.02.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.85",Module::Install,0.85,,0
ADAMK/Acme-PerlML-1.00.tar.gz,ADAMK,1,0,,"Module::Install version 0.62",Module::Install,0.62,,0
ADAMK/Acme-SuperCollider-Programming-0.02.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.88",Module::Install,0.88,,0
ADAMK/Acme-Terror-AU-0.01.tar.gz,ADAMK,1,0,,"Module::Install version 0.63",Module::Install,0.63,,0
ADAMK/Algorithm-Dependency-1.110.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.83",Module::Install,0.83,,0
ADAMK/Algorithm-Dependency-MapReduce-0.03.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.83",Module::Install,0.83,,0
ADAMK/Algorithm-Dependency-Source-DBI-1.06.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.91",Module::Install,0.91,,0
ADAMK/Alien-BatToExeConverter-0.01.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.78",Module::Install,0.78,,0
ADAMK/Alien-Win32-LZMA-4.66.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.91",Module::Install,0.91,,0
ADAMK/Apache2-PPI-HTML-0.02.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.77",Module::Install,0.77,,0
ADAMK/Archive-Builder-1.14.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.76",Module::Install,0.76,,0
ADAMK/Archive-Zip-1.30.tar.gz,ADAMK,1,0,1.4,"ExtUtils::MakeMaker version 6.50",ExtUtils::MakeMaker,6.50,,0
ADAMK/Array-Window-1.02.tar.gz,ADAMK,1,0,1.3,"Module::Install version 0.75",Module::Install,0.75,,0
ADAMK/Aspect-0.44.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.93",Module::Install,0.93,,0
ADAMK/Aspect-Library-Memoize-0.32.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.91",Module::Install,0.91,,0
ADAMK/Aspect-Library-NYTProf-0.01.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.91",Module::Install,0.91,,0
ADAMK/Aspect-Library-Profiler-0.32.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.91",Module::Install,0.91,,0
ADAMK/Aspect-Library-Profiler-0.33.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.91",Module::Install,0.91,,0
ADAMK/Aspect-Library-TestClass-0.36.tar.gz,ADAMK,1,0,1.4,"Module::Install version 0.91",Module::Install,0.91,,0
